Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
0.000000000,0,0,0,0,0,1
1.383368375,1,0,1,1,1,1
1.383368500,0,0,0,0,0,1
1.383371250,0,0,0,0,1,1
1.383371375,0,0,0,0,0,1
1.383372875,1,1,1,1,1,1
1.383373000,0,0,0,0,0,1
1.383393500,1,0,0,0,1,1
1.383393625,0,0,0,0,0,1
1.413707375,1,1,1,0,0,1
1.413707500,0,0,0,0,0,1
1.413707625,1,0,0,0,0,1
1.413707750,0,0,0,0,0,1
1.413707875,1,0,0,0,0,1
1.413708000,0,0,0,0,0,1
2.315477625,0,0,0,0,1,1
2.316998125,1,0,0,0,1,1
2.610806000,0,0,0,0,1,1
2.611530125,0,0,0,1,1,1
2.611557000,0,1,1,1,1,1
2.611557125,0,0,0,1,1,1
2.611559250,0,1,1,1,1,1
17.347249750,0,1,0,1,1,1
17.347250000,0,1,1,1,1,1
17.347250875,0,0,1,1,1,1
17.347251125,0,1,1,1,1,1
17.347321125,0,1,0,1,1,1
17.347330750,0,0,0,1,1,1
17.347331375,0,0,1,1,1,1
17.347332125,0,1,1,1,1,1
17.347333500,0,0,1,1,1,1
17.347333875,0,0,0,1,1,1
17.347334875,0,1,0,1,1,1
17.347336125,0,0,0,1,1,1
17.347336750,0,0,1,1,1,1
17.347337625,0,1,1,1,1,1
17.347338875,0,0,1,1,1,1
17.347339375,0,0,0,1,1,1
17.347340375,0,1,0,1,1,1
17.347341625,0,0,0,1,1,1
17.347343000,0,1,0,1,1,1
17.347344375,0,0,0,1,1,1
17.347345750,0,1,0,1,1,1
17.347347000,0,0,0,1,1,1
17.347347625,0,0,1,1,1,1
17.347348500,0,1,1,1,1,1
17.347349750,0,0,1,1,1,1
17.347350250,0,0,0,1,1,1
17.347351250,0,1,0,1,1,1
17.347352500,0,0,0,1,1,1
17.347353875,0,1,0,1,1,1
17.347355250,0,0,0,1,1,1
17.347355500,0,0,1,1,1,1
17.347355750,0,0,0,1,1,1
17.347375000,0,1,0,1,1,1
17.347380625,0,1,1,1,1,1
17.347447250,0,1,0,1,1,1
17.347456875,0,0,0,1,1,1
17.347457500,0,0,1,1,1,1
17.347458250,0,1,1,1,1,1
17.347459500,0,0,1,1,1,1
17.347460000,0,0,0,1,1,1
17.347461000,0,1,0,1,1,1
17.347462250,0,0,0,1,1,1
17.347462875,0,0,1,1,1,1
17.347463750,0,1,1,1,1,1
17.347465000,0,0,1,1,1,1
17.347465500,0,0,0,1,1,1
17.347466375,0,1,0,1,1,1
17.347467750,0,0,0,1,1,1
17.347469125,0,1,0,1,1,1
17.347470375,0,0,0,1,1,1
17.347471875,0,1,0,1,1,1
17.347473125,0,0,0,1,1,1
17.347473750,0,0,1,1,1,1
17.347474625,0,1,1,1,1,1
17.347475875,0,0,1,1,1,1
17.347476375,0,0,0,1,1,1
17.347477250,0,1,0,1,1,1
17.347478625,0,0,0,1,1,1
17.347480000,0,1,0,1,1,1
17.347481250,0,0,0,1,1,1
17.347481625,0,0,1,1,1,1
17.347481750,0,0,0,1,1,1
17.347497625,0,1,0,1,1,1
17.347503250,0,1,1,1,1,1
17.347570125,0,1,0,1,1,1
17.347579625,0,0,0,1,1,1
17.347580125,0,0,1,1,1,1
17.347581000,0,1,1,1,1,1
17.347582375,0,0,1,1,1,1
17.347582875,0,0,0,1,1,1
17.347583750,0,1,0,1,1,1
17.347585125,0,0,0,1,1,1
17.347585750,0,0,1,1,1,1
17.347586500,0,1,1,1,1,1
17.347587750,0,0,1,1,1,1
17.347588375,0,0,0,1,1,1
17.347589250,0,1,0,1,1,1
17.347590500,0,0,0,1,1,1
17.347592000,0,1,0,1,1,1
17.347593250,0,0,0,1,1,1
17.347594625,0,1,0,1,1,1
17.347596000,0,0,0,1,1,1
